latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
23.75063,86.41763,312.47,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.37,1.84,N
23.77303,86.19574,304.68,0.42,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,282.45,1.34,N
23.73631,86.43188,318.3,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,281.16,2.93,N
23.73582,86.43589,307.08,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,280.21,1.57,N
23.72297,86.4381,302.79,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,275.82,0.81,N
23.72077,86.42135,298.98,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,274.19,0.66,N
23.71837,86.44152,305.79,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,278.57,1.62,N
23.66153,86.91164,296.16,0.38,0.43,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,271.11,0.33,N
23.71329,86.44895,305.82,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,279.08,1.48,N
23.71281,86.45299,312.23,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,279.55,1.48,N
23.70696,86.43157,300.02,0.41,0.45,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,267.13,0.76,N
23.61413,86.78986,302.09,0.39,0.44,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,274.76,1.13,N
23.82626,84.92207,296.97,0.51,0.49,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,278.43,1.64,N
23.68204,86.09521,305.92,0.43,0.46,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,280.08,1.86,N
23.67882,86.08623,312.7,0.43,0.46,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,281.13,3.33,N
23.6746,86.08565,303.86,0.43,0.46,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,280.99,1.51,N
22.87305,88.21144,304.86,0.48,0.4,2026-08-02,1942,SNPP,SNPP,n,2.0NRT,286.78,2.5,N
21.00018,86.02511,306.52,0.4,0.44,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,285.57,0.98,N
20.97161,86.02093,304.6,0.4,0.44,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,284.17,0.77,N
20.96753,86.02036,304.92,0.4,0.44,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,284.36,0.77,N
20.95197,86.04553,314.46,0.4,0.44,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,286.03,1.85,N
20.95151,86.04935,317,0.4,0.44,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,286.19,1.85,N
20.97597,85.16943,303.66,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,280.02,1.07,N
20.97545,85.1738,302.12,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,280.2,1.07,N
20.97579,85.13397,300.2,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,277.67,1.38,N
20.97114,85.17324,304.52,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,279.7,1.07,N
20.97062,85.17761,318.44,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,278.72,2.46,N
20.96889,85.15518,300.54,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,278.18,1.09,N
20.96734,85.16828,310.75,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,279.52,1.23,N
20.96683,85.17267,307.88,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,279.74,1.23,N
20.96631,85.17702,300.99,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,279.17,1.31,N
20.96579,85.18137,302.44,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,278.35,1.31,N
20.96528,85.1857,301.31,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,277.53,0.78,N
20.96477,85.18999,307.17,0.45,0.47,2026-08-02,1945,SNPP,SNPP,n,2.0NRT,278.64,0.78,N
